id,name,logo_url,transparency_grade,coverage_type,order_books,first_trade,first_candle,first_order_book,num_pairs,num_pairs_unmapped,last_updated,fiat_currencies,rank,weight,centralized,decentralized,1d.volume,1d.volume_change,1d.volume_change_pct,1d.trades,1d.trades_change,1d.trades_change_pct,1d.spot_volume,1d.spot_volume_change,1d.spot_volume_change_pct,1d.derivative_volume,1d.derivative_volume_change,1d.derivative_volume_change_pct,location,website_url
dfyn_fantom,Dfyn (Fantom),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/dfyn_fantom.png,A,trades,true,2021-10-05T00:00:00Z,2021-10-05T00:00:00Z,2021-11-08T00:00:00Z,12,14,2022-01-19T23:59:59Z,,79,0.2864,false,true,168097.71,31927.06,0.2345,289,-21,-0.0677,168097.71,31927.06,0.2345,,,,,https://www.dfyn.network
jetswap,JetSwap (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/jetswap.jpg,A,trades,true,2021-05-07T00:00:00Z,2021-05-07T00:00:00Z,2021-10-27T00:00:00Z,80,71,2022-01-19T23:57:33Z,,80,0.2738,false,true,156870.06,88996.02,1.3112,956,16,0.0170,156870.06,88996.02,1.3112,,,,,https://jetswap.finance
waultswap_bsc,WaultSwap (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/waultswap_bsc.png,A,trades,true,2021-04-18T00:00:00Z,2021-04-18T00:00:00Z,2021-10-27T00:00:00Z,182,78,2022-01-19T23:58:33Z,,81,0.2919,false,true,134624.93,25652.19,0.2354,1800,-167,-0.0849,134624.93,25652.19,0.2354,,,,,https://wault.finance
sushiswap_celo,SushiSwap (Celo),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/sushiswap.jpg,A,trades,true,2021-06-16T00:00:00Z,2021-06-16T00:00:00Z,2021-10-27T00:00:00Z,21,122,2022-01-20T00:02:52Z,,82,0.4143,false,true,127536.31,-43629.85,-0.2549,1503,10,0.0067,127536.31,-43629.85,-0.2549,,,,,https://sushi.com
kuswap,KuSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/kuswap.png,A,trades,true,2021-06-26T00:00:00Z,2021-06-26T00:00:00Z,2021-11-01T00:00:00Z,19,602,2022-01-20T00:00:50Z,,83,0.2096,false,true,126160.23,58989.31,0.8782,2232,78,0.0362,126160.23,58989.31,0.8782,,,,,https://kuswap.finance/
polycat,Polycat,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/polycat.png,A,trades,true,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,2021-11-09T00:00:00Z,80,246,2022-01-19T23:57:44Z,,84,0.2577,false,true,124260.75,-20942.33,-0.1442,1631,-125,-0.0712,124260.75,-20942.33,-0.1442,,,,,https://polycat.finance
defiplaza,DefiPlaza,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/defiplaza.svg,A+,trades,false,2021-10-04T00:00:00Z,2021-10-04T00:00:00Z,,120,33,2022-01-19T22:59:27Z,,85,0.0791,false,true,101382.38,-36778.15,-0.2662,49,-13,-0.2097,101382.38,-36778.15,-0.2662,,,,Netherlands,https://app.defiplaza.net
blocktrade,Blocktrade,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/blocktrade.png,A+,trades,false,2018-09-30T00:00:00Z,2018-09-30T00:00:00Z,,35,0,2022-01-19T23:34:28Z,EUR,86,0.2112,true,false,77473.47,18086.15,0.3045,276,49,0.2159,18885.37,-2342.44,-0.1103,,,,Luxembourg,https://blocktrade.com/
yetiswap,YetiSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/yetiswap.jpg,A,trades,true,2021-02-17T00:00:00Z,2021-02-17T00:00:00Z,2021-10-27T00:00:00Z,33,20,2022-01-19T23:57:50Z,,87,0.1738,false,true,70941.18,-79258.69,-0.5277,507,-98,-0.1620,70941.18,-79258.69,-0.5277,,,,,https://yetiswap.app
latteswap,LatteSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/latteswap.png,A,trades,true,2021-09-18T00:00:00Z,2021-09-18T00:00:00Z,2021-10-27T00:00:00Z,35,7,2022-01-19T23:53:36Z,,88,0.1018,false,true,67831.65,-15045.91,-0.1815,312,-51,-0.1405,67831.65,-15045.91,-0.1815,,,,,https://www.latteswap.com/
1inchv2_bsc,1inch V2 (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/1inchv2.jpg,A,trades,false,2021-02-24T00:00:00Z,2021-02-24T00:00:00Z,,659,541,2022-01-20T00:02:27Z,,89,0.3695,false,true,54787.22,-7415.85,-0.1192,283,-52,-0.1552,54787.22,-7415.85,-0.1192,,,,,https://1inch.io
namebase,Namebase,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/namebase.jpg,A,trades,true,2020-02-03T00:00:00Z,2020-02-03T00:00:00Z,2020-02-11T00:00:00Z,1,0,2022-01-19T23:33:42.992Z,,90,0.3331,true,false,52184.65,-21293.71,-0.2898,301,-25,-0.0767,52184.65,-21293.71,-0.2898,,,,United States,https://www.namebase.io
jetswap_fantom,JetSwap (Fantom),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/jetswap.jpg,A,trades,true,2021-09-12T00:00:00Z,2021-09-12T00:00:00Z,2021-10-27T00:00:00Z,21,37,2022-01-20T00:00:00Z,,91,0.2417,false,true,38718.21,950.48,0.0252,443,-2,-0.0045,38718.21,950.48,0.0252,,,,,https://fantom.jetswap.finance
padswap,PadSwap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/padswap.png,A,trades,true,2021-06-04T00:00:00Z,2021-06-04T00:00:00Z,2021-10-27T00:00:00Z,33,39,2022-01-19T23:56:09Z,,92,0.2116,false,true,36605.74,11325.00,0.4480,187,34,0.2222,36605.74,11325.00,0.4480,,,,,https://padswap.exchange
waultswap_polygon,WaultSwap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/waultswap_polygon.png,A,trades,true,2021-06-08T00:00:00Z,2021-06-08T00:00:00Z,2021-10-27T00:00:00Z,105,250,2022-01-20T00:00:40Z,,93,0.2581,false,true,34334.45,-26690.46,-0.4374,1091,-567,-0.3420,34334.45,-26690.46,-0.4374,,,,,https://wault.finance
zebitex,ZEBITEX,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/zebitex.svg,A+,trades,false,2018-11-27T00:00:00Z,2018-11-27T00:00:00Z,,114,0,2022-01-19T23:53:15Z,EUR;USD,94,0.1510,true,false,29994.55,-56287.33,-0.6524,254,-28,-0.0993,9969.45,-28650.56,-0.7419,248.18,-3320.19,-0.9305,France,https://zebitex.com
crodex,Crodex,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/crodex.jpg,A,trades,true,2021-11-08T00:00:00Z,2021-11-08T00:00:00Z,2022-01-19T00:00:00Z,6,680,2022-01-19T23:55:14Z,,95,0.1926,false,true,17808.06,-10079.42,-0.3614,94,15,0.1899,17808.06,-10079.42,-0.3614,,,,,https://crodex.app
empiredex_bsc,Empire DEX (BSC),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/empiredex_bsc.jpg,A,trades,true,2021-08-07T00:00:00Z,2021-08-07T00:00:00Z,2021-10-27T00:00:00Z,21,8,2022-01-19T23:22:48Z,,96,0.1907,false,true,12952.09,-3772.80,-0.2256,65,-41,-0.3868,12952.09,-3772.80,-0.2256,,,,,https://www.empiredex.org
qtrade,qTrade,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/qtrade.png,A,trades,true,2018-04-27T00:00:00Z,2018-04-27T00:00:00Z,2020-02-10T00:00:00Z,53,8,2022-01-19T23:37:30.109Z,,97,0.2088,true,false,11062.43,2714.30,0.3251,155,11,0.0764,11062.43,2714.30,0.3251,,,,United States,https://qtrade.io
levinswap,Levinswap,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/levinswap.png,A,trades,true,2021-01-16T00:00:00Z,2021-01-16T00:00:00Z,2021-10-27T00:00:00Z,63,214,2022-01-19T23:49:45Z,,98,0.1045,false,true,6530.57,2660.55,0.6875,1272,-135,-0.0959,6530.57,2660.55,0.6875,,,,,https://levinswap.org
baguette,Baguette,https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/baguette.jpg,A,trades,true,2021-04-30T00:00:00Z,2021-04-30T00:00:00Z,2021-10-27T00:00:00Z,54,18,2022-01-19T23:52:40Z,,99,0.1018,false,true,5209.10,1641.52,0.4601,95,-30,-0.2400,5209.10,1641.52,0.4601,,,,,https://baguette.exchange
honeyswap_polygon,Honeyswap (Polygon),https://s3.us-east-2.amazonaws.com/nomics-api/static/images/exchanges/honeyswap.png,A,trades,true,2021-05-23T00:00:00Z,2021-05-23T00:00:00Z,2021-10-27T00:00:00Z,102,104,2022-01-20T00:00:20Z,,100,0.2185,false,true,4347.60,-1892.23,-0.3032,201,-102,-0.3366,4347.60,-1892.23,-0.3032,,,,,https://honeyswap.org/
